            JDUT ,            Calendar Date (UT ),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
2460329.593571390, A.D. 2024-Jan-20 02:14:44.5681, -2.127344564070152E+05, -6.373077172111328E+04, -6.897252396095409E+03,  5.487127888015593E-01,  4.527278521648495E-01,  4.927838580938460E-02,  7.411215636991555E-01,  2.221826552581734E+05, -6.567690783172259E-01,
2460329.598172154, A.D. 2024-Jan-20 02:21:22.0741, -2.125162381076567E+05, -6.355116469349317E+04, -6.877679179856281E+03,  5.492245283854360E-01,  4.509433265176657E-01,  4.920175574386731E-02,  7.402508365933973E-01,  2.219216178388909E+05, -6.566079482024959E-01,
2460329.602772918, A.D. 2024-Jan-20 02:27:59.5801, -2.122978161715765E+05, -6.337226504980396E+04, -6.858136379606040E+03,  5.497373574156114E-01,  4.491687296754202E-01,  4.912535166471940E-02,  7.393803190474069E-01,  2.216606432440463E+05, -6.564529745478995E-01,
2460329.607373682, A.D. 2024-Jan-20 02:34:37.0861, -2.120791901695511E+05, -6.319406885733843E+04, -6.838623905557386E+03,  5.502512566203777E-01,  4.474039910535058E-01,  4.904917335056350E-02,  7.385100029408367E-01,  2.213997290392206E+05, -6.563040930153674E-01,
2460329.611974446, A.D. 2024-Jan-20 02:41:14.5921, -2.118603596799675E+05, -6.301657221130056E+04, -6.819141668012740E+03,  5.507662069760484E-01,  4.456490407999529E-01,  4.897322057170853E-02,  7.376398802381570E-01,  2.211388728154227E+05, -6.561612400010463E-01,
2460329.616575209, A.D. 2024-Jan-20 02:47:52.0981, -2.116413242887248E+05, -6.283977123451485E+04, -6.799689577367360E+03,  5.512821897030524E-01,  4.439038097852552E-01,  4.889749309037700E-02,  7.367699429876855E-01,  2.208780721887981E+05, -6.560243526249493E-01,
2460329.621175973, A.D. 2024-Jan-20 02:54:29.6041, -2.114220835891142E+05, -6.266366207709810E+04, -6.780267544113980E+03,  5.517991862609835E-01,  4.421682295900961E-01,  4.882199066104359E-02,  7.359001833205182E-01,  2.206173248003087E+05, -6.558933687190326E-01,
2460329.625776737, A.D. 2024-Jan-20 03:01:07.1101, -2.112026371818045E+05, -6.248824091632201E+04, -6.760875478841786E+03,  5.523171783488589E-01,  4.404422325036267E-01,  4.874671303025646E-02,  7.350305934499815E-01,  2.203566283155686E+05, -6.557682268234832E-01,
2460329.630377501, A.D. 2024-Jan-20 03:07:44.6161, -2.109829846746662E+05, -6.231350395618834E+04, -6.741513292243642E+03,  5.528361478974032E-01,  4.387257515056612E-01,  4.867165993724870E-02,  7.341611656703030E-01,  2.200959804244453E+05, -6.556488661705882E-01,
2460329.634978265, A.D. 2024-Jan-20 03:14:22.1221, -2.107631256827064E+05, -6.213944742720298E+04, -6.722180895117443E+03,  5.533560770668047E-01,  4.370187202599402E-01,  4.859683111401228E-02,  7.332918923558283E-01,  2.198353788408251E+05, -6.555352266772266E-01,
2460329.639579029, A.D. 2024-Jan-20 03:20:59.6281, -2.105430598279789E+05, -6.196606758610621E+04, -6.702878198368879E+03,  5.538769482432064E-01,  4.353210731048635E-01,  4.852222628549774E-02,  7.324227659601205E-01,  2.195748213023433E+05, -6.554272489354388E-01,
2460329.644179793, A.D. 2024-Jan-20 03:27:37.1341, -2.103227867394940E+05, -6.179336071560570E+04, -6.683605113014673E+03,  5.543987440352658E-01,  4.336327450443885E-01,  4.844784516980846E-02,  7.315537790150690E-01,  2.193143055701164E+05, -6.553248742031613E-01,
2460329.648780557, A.D. 2024-Jan-20 03:34:14.6401, -2.101023060530655E+05, -6.162132312406300E+04, -6.664361550178895E+03,  5.549214472709354E-01,  4.319536717385723E-01,  4.837368747836784E-02,  7.306849241297542E-01,  2.190538294284025E+05, -6.552280443950879E-01,
2460329.653381321, A.D. 2024-Jan-20 03:40:52.1461, -2.098816174114880E+05, -6.144995114543957E+04, -6.645147421119276E+03,  5.554450409935248E-01,  4.302837894967806E-01,  4.829975291619440E-02,  7.298161939906231E-01,  2.187933906846537E+05, -6.551367020738282E-01,
2460329.657982084, A.D. 2024-Jan-20 03:47:29.6521, -2.096607204640557E+05, -6.127924113873245E+04, -6.625962637194469E+03,  5.559695084593901E-01,  4.286230352660115E-01,  4.822604118194715E-02,  7.289475813590743E-01,  2.185329871687918E+05, -6.550507904409331E-01,
2460329.662582848, A.D. 2024-Jan-20 03:54:07.1581, -2.094396148667263E+05, -6.110918948789319E+04, -6.606807109891863E+03,  5.564948331330517E-01,  4.269713466222777E-01,  4.815255196829685E-02,  7.280790790715722E-01,  2.182726167332430E+05, -6.549702533267040E-01,
2460329.667183612, A.D. 2024-Jan-20 04:00:44.6641, -2.092183002820231E+05, -6.093979260163402E+04, -6.587680750818501E+03,  5.570209986875091E-01,  4.253286617682662E-01,  4.807928496175279E-02,  7.272106800388211E-01,  2.180122772526897E+05, -6.548950351867330E-01,
2460329.671784376, A.D. 2024-Jan-20 04:07:22.1701, -2.089967763789034E+05, -6.077104691307720E+04, -6.568583471708924E+03,  5.575479889979230E-01,  4.236949195186538E-01,  4.800623984314792E-02,  7.263423772446851E-01,  2.177519666237474E+05, -6.548250810885169E-01,
2460329.676385140, A.D. 2024-Jan-20 04:13:59.6761, -2.087750428326942E+05, -6.060294887954475E+04, -6.549515184425767E+03,  5.580757881395908E-01,  4.220700592939781E-01,  4.793341628770478E-02,  7.254741637454609E-01,  2.174916827647463E+05, -6.547603367047582E-01,
2460329.680985904, A.D. 2024-Jan-20 04:20:37.1821, -2.085530993250127E+05, -6.043549498231975E+04, -6.530475800961744E+03,  5.586043803850040E-01,  4.204540211127050E-01,  4.786081396519520E-02,  7.246060326690825E-01,  2.172314236154925E+05, -6.547007483052975E-01,
2460329.685586668, A.D. 2024-Jan-20 04:27:14.6881, -2.083309455436894E+05, -6.026868172641058E+04, -6.511465233441981E+03,  5.591337502009356E-01,  4.188467455833815E-01,  4.778843254009441E-02,  7.237379772143333E-01,  2.169711871370330E+05, -6.546462627491410E-01,
2460329.690187432, A.D. 2024-Jan-20 04:33:52.1941, -2.081085811826906E+05, -6.010250564031741E+04, -6.492483394125968E+03,  5.596638822455864E-01,  4.172481738969192E-01,  4.771627167173362E-02,  7.228699906500713E-01,  2.167109713114219E+05, -6.545968274766287E-01,
