            JDUT ,            Calendar Date (UT ),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
2460321.167825000, A.D. 2024-Jan-11 16:01:40.0800, -2.694963446578016E+04,  3.624640501303114E+05,  2.723773939749561E+04, -2.247092241291130E-01,  4.138253390209577E-01,  8.175240639463080E-02,  1.215786743770488E+00,  3.644836963187709E+05,  4.342564351123157E-01,
2460321.178361806, A.D. 2024-Jan-11 16:16:50.4600, -2.715412406483353E+04,  3.628395737289035E+05,  2.731207279161540E+04, -2.245307412190700E-01,  4.111577519637294E-01,  8.154951588948312E-02,  1.217101529176863E+00,  3.648778590674903E+05,  4.316746589610037E-01,
2460321.188898611, A.D. 2024-Jan-11 16:32:00.8400, -2.735845081943244E+04,  3.632126715291578E+05,  2.738622152439707E+04, -2.243514729761042E-01,  4.084961305548739E-01,  8.134672581473718E-02,  1.218408483001319E+00,  3.652696739670166E+05,  4.290984723123861E-01,
2460321.199435417, A.D. 2024-Jan-11 16:47:11.2200, -2.756261401940013E+04,  3.635833489371135E+05,  2.746018568762284E+04, -2.241714310457725E-01,  4.058404199121715E-01,  8.114403756238034E-02,  1.219707622139950E+00,  3.656591460826708E+05,  4.265278241869763E-01,
2460321.209972222, A.D. 2024-Jan-11 17:02:21.6000, -2.776661295835110E+04,  3.639516113097661E+05,  2.753396537139722E+04, -2.239906123056549E-01,  4.031905667898569E-01,  8.094144593303901E-02,  1.220998963334616E+00,  3.660462804335364E+05,  4.239626636060591E-01,
2460321.220509028, A.D. 2024-Jan-11 17:17:31.9800, -2.797044693368300E+04,  3.643174639555248E+05,  2.760756066423345E+04, -2.238090249813047E-01,  4.005465187222000E-01,  8.073895127243463E-02,  1.222282523174402E+00,  3.664310819928960E+05,  4.214029416091372E-01,
2460321.231045833, A.D. 2024-Jan-11 17:32:42.3600, -2.817411524620666E+04,  3.646809121346298E+05,  2.768097165286589E+04, -2.236266717308382E-01,  3.979082215185041E-01,  8.053655099926607E-02,  1.223558318096781E+00,  3.668135556885799E+05,  4.188486068556714E-01,
2460321.241582639, A.D. 2024-Jan-11 17:47:52.7400, -2.837761720051615E+04,  3.650419610596456E+05,  2.775419842252185E+04, -2.234435545850969E-01,  3.952756252691518E-01,  8.033424233505701E-02,  1.224826364389338E+00,  3.671937064034834E+05,  4.162996121703335E-01,
2460321.252119444, A.D. 2024-Jan-11 18:03:03.1200, -2.858095210442995E+04,  3.654006158958023E+05,  2.782724105665216E+04, -2.232596820563586E-01,  3.926486753586693E-01,  8.013202634569183E-02,  1.226086678190615E+00,  3.675715389758195E+05,  4.137559064656421E-01,
2460321.262656250, A.D. 2024-Jan-11 18:18:13.5000, -2.878411926928523E+04,  3.657568817614090E+05,  2.790009963711789E+04, -2.230750521653959E-01,  3.900273236897385E-01,  7.992989756956656E-02,  1.227339275491528E+00,  3.679470581995443E+05,  4.112174438045287E-01,
