            JDUT ,            Calendar Date (UT ),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
2460357.228753472, A.D. 2024-Feb-16 17:29:24.3000, -2.865499886557464E+05, -9.005989183342154E+04, -2.734659579556216E+04,  2.200165939155346E-01,  3.591632500605214E-01,  4.633767759597296E-02,  1.006067778734798E+00,  3.016115323015052E+05, -3.204755897206882E-01,
2460357.235847222, A.D. 2024-Feb-16 17:39:37.2000, -2.864144457591460E+05, -8.984043477457085E+04, -2.731814200872833E+04,  2.222823462040719E-01,  3.569671419742847E-01,  4.651175642566528E-02,  1.005411205598469E+00,  3.014146966271083E+05, -3.218342505455485E-01,
2460357.242940972, A.D. 2024-Feb-16 17:49:50.1000, -2.862775164966131E+05, -8.962231713567220E+04, -2.728958199307305E+04,  2.245405562899170E-01,  3.547924486967977E-01,  4.668432496412288E-02,  1.004751851309223E+00,  3.012170271840426E+05, -3.231963039602981E-01,
2460357.250034722, A.D. 2024-Feb-16 18:00:03.0000, -2.861392054767868E+05, -8.940552586404479E+04, -2.726091666670455E+04,  2.267912696851414E-01,  3.526389344516382E-01,  4.685540775867407E-02,  1.004089709046346E+00,  3.010185219275090E+05, -3.245616377100697E-01,
2460357.257128472, A.D. 2024-Feb-16 18:10:15.9000, -2.859995172805582E+05, -8.919004805032103E+04, -2.723214693283114E+04,  2.290345313373693E-01,  3.505063671896453E-01,  4.702502887130454E-02,  1.003424772216159E+00,  3.008191788807724E+05, -3.259301418054142E-01,
2460357.264222222, A.D. 2024-Feb-16 18:20:28.8000, -2.858584564615308E+05, -8.897587092624452E+04, -2.720327368009563E+04,  2.312703856375778E-01,  3.483945185044395E-01,  4.719321189163292E-02,  1.002757034447884E+00,  3.006189961339217E+05, -3.273017084674887E-01,
2460357.271315972, A.D. 2024-Feb-16 18:30:41.7000, -2.857160275461737E+05, -8.876298186251089E+04, -2.717429778277647E+04,  2.334988764307914E-01,  3.463031635769365E-01,  4.735997994406525E-02,  1.002086489588609E+00,  3.004179718423605E+05, -3.286762320851066E-01,
2460357.278409722, A.D. 2024-Feb-16 18:40:54.6000, -2.855722350342776E+05, -8.855136836654604E+04, -2.714522010112805E+04,  2.357200470238836E-01,  3.442320810863641E-01,  4.752535570170481E-02,  1.001413131699279E+00,  3.002161042256047E+05, -3.300536091604945E-01,
2460357.285503472, A.D. 2024-Feb-16 18:51:07.5000, -2.854270833992276E+05, -8.834101808029471E+04, -2.711604148164443E+04,  2.379339401951565E-01,  3.421810531369557E-01,  4.768936139710689E-02,  1.000736955050155E+00,  3.000133915659214E+05, -3.314337382620615E-01,
2460357.292597222, A.D. 2024-Feb-16 19:01:20.4000, -2.852805770884351E+05, -8.813191877833393E+04, -2.708676275734391E+04,  2.401405982010596E-01,  3.401498651913421E-01,  4.785201883208341E-02,  1.000057954117181E+00,  2.998098322072410E+05, -3.328165199774245E-01,
